Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 4:15:59 PM
Start Time: 00:00:00.000		End Time: 00:01:03.375

EEG-C,EEG-D
256,256
-7.165,-54.690
-5.265,-38.278
-9.147,-76.627
-3.938,-21.867
-1.513,17.456
2.825,26.796
3.872,41.864
1.829,35.017
-0.664,-25.440
-1.941,-74.858
1.555,-43.519
8.911,24.656
11.285,44.727
4.210,9.238
-2.804,-13.352
-3.893,-0.533
-5.696,-2.331
-4.732,-13.021
-0.901,1.413
0.146,16.949
-0.217,-0.142
0.079,-36.687
-0.207,-31.393
0.052,21.904
1.699,42.722
0.766,14.368
-5.398,-26.267
-7.470,-42.801
-2.438,-28.413
3.583,4.446
3.996,20.615
-3.297,-3.810
-6.181,-26.094
-2.071,-15.741
-2.448,9.170
-3.004,25.460
-3.004,14.612
-4.311,-12.005
-4.241,-23.748
-1.707,-11.137
2.131,17.732
3.539,34.046
-3.812,24.281
-10.989,9.707
-7.903,-2.759
-1.443,-10.182
-0.474,-4.283
-0.206,16.011
0.217,27.760
-8.887,-12.387
-20.366,-65.855
-16.068,-41.797
-0.529,32.647
4.802,42.887
-2.549,-8.154
-6.958,-30.984
-3.405,-14.118
2.355,4.068
3.129,6.689
0.453,-8.496
-2.946,-23.347
-6.810,-11.271
-8.319,11.598
-8.592,18.166
-7.009,16.277
-0.564,18.959
2.992,7.527
-2.875,-12.285
-8.115,-2.571
-5.563,15.852
-8.053,6.813
-12.838,-4.469
-10.764,-6.970
-8.025,-3.727
-7.741,5.308
-9.907,11.894
-12.387,7.635
-11.404,-4.264
-8.863,-14.350
-8.333,-20.076
-5.045,-8.818
-3.022,7.652
-5.598,-9.818
-4.141,-25.806
0.936,-9.497
3.818,17.601
3.908,33.081
1.092,28.673
-7.308,4.463
-13.905,-15.773
-8.396,-4.081
1.988,26.882
4.288,19.210
1.815,-21.886
4.180,-19.079
5.150,4.995
-0.154,-2.735
-4.356,-22.116
-4.215,-28.864
-0.897,-11.844
4.543,10.954
6.711,10.725
5.518,-6.459
5.742,-10.189
5.711,-2.701
1.192,-1.368
-0.515,2.657
7.466,16.697
14.051,17.413
12.305,-9.252
7.925,-28.515
8.263,-9.456
10.787,19.352
8.883,16.169
5.250,5.115
6.401,5.206
9.693,4.067
5.698,-2.311
4.418,8.899
8.953,24.804
11.191,16.878
11.967,10.164
9.116,0.435
2.047,-2.950
-1.723,6.283
-4.188,-2.823
-5.624,-25.400
1.217,-19.713
12.106,9.855
12.006,15.345
6.826,0.898
6.174,-14.798
5.708,-20.282
0.794,-15.788
-3.786,-6.996
-0.663,2.454
2.995,5.343
-0.114,-12.164
-2.065,-25.547
3.224,1.487
9.087,34.555
5.844,15.947
-1.026,-16.973
-1.263,-7.805
0.315,16.451
0.162,14.313
-0.743,2.425
-0.410,-2.913
-0.047,-6.904
3.268,-0.879
8.250,6.238
4.674,3.567
-0.162,-5.211
1.003,-3.867
5.449,13.866
8.440,30.475
6.540,12.685
6.159,-13.494
8.940,-6.059
6.843,-7.635
2.267,-14.931
1.290,0.072
2.425,11.702
0.649,5.592
0.141,3.938
7.635,19.903
9.741,24.047
-0.092,6.519
-3.787,-0.793
2.644,3.744
3.884,0.447
1.167,-1.174
3.996,16.841
4.839,28.132
-3.045,8.221
-6.271,-20.450
-4.854,-25.898
-4.862,-8.306
-1.198,19.516
3.776,26.849
3.595,-1.274
0.865,-13.958
-2.057,1.409
-3.911,-1.450
-6.659,-23.301
-7.869,-21.620
-7.534,-10.645
-6.099,2.928
-2.581,22.708
-0.244,23.827
-5.530,-4.657
-10.439,-37.571
-7.002,-28.086
-1.595,8.082
-4.577,11.774
-11.139,-16.906
-12.739,-32.587
-4.998,-11.276
3.739,20.520
3.918,18.364
-3.796,-2.971
-7.112,-9.583
0.682,0.986
6.791,9.940
5.757,13.550
1.575,4.892
1.238,-12.859
0.200,-15.994
-0.488,4.066
2.926,21.497
4.303,18.022
0.432,9.286
-1.909,9.931
0.674,3.483
5.022,-11.395
5.802,-10.366
0.459,5.475
-4.198,9.686
-7.975,-14.669
-9.721,-41.021
-3.555,-21.535
1.342,21.411
1.897,26.996
