Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 4:01:32 PM
Start Time: 00:00:00.000		End Time: 00:01:01.188

EEG-C,EEG-D
256,256
5.024,9.388
-4.324,-34.139
1.134,-1.494
10.715,43.468
11.011,10.960
7.065,8.389
6.348,29.161
1.357,11.818
-7.091,-30.504
-4.532,-27.467
6.485,23.245
8.057,40.920
-3.437,-0.266
-6.472,-28.913
3.842,-9.345
8.799,12.712
3.065,12.942
-1.659,8.599
-3.347,10.207
-0.700,18.518
-1.182,9.187
-3.542,-14.020
-0.777,-6.583
0.113,30.745
-5.741,47.885
-9.697,17.465
-12.441,-22.712
-14.483,-12.207
-9.489,29.634
-3.656,34.703
-4.733,-19.259
-8.179,-54.319
-6.175,-32.825
0.569,9.578
4.752,23.625
1.412,-0.210
-1.660,-20.633
0.663,-16.472
4.111,1.308
4.555,12.492
3.028,11.333
1.879,8.565
0.622,2.183
0.404,-7.673
3.629,-3.085
4.182,7.845
9.073,30.441
16.106,36.707
7.347,-8.000
-5.341,-45.734
-3.457,-26.185
4.277,11.251
3.648,23.894
-0.527,2.840
0.378,-30.779
2.071,-30.747
1.590,14.223
2.605,39.729
4.854,24.000
0.565,-14.930
-3.665,-35.695
-3.556,-9.334
-6.631,19.643
-7.935,13.037
-3.538,-9.287
1.219,-21.566
7.882,-4.532
14.376,19.833
16.794,23.576
15.438,12.739
11.945,2.588
7.328,1.207
5.752,2.846
8.969,4.964
9.837,-2.166
5.970,-9.343
4.394,4.744
4.577,9.155
4.140,-11.125
8.031,-6.407
11.451,12.925
6.010,0.289
0.718,-28.965
2.277,-22.244
1.939,17.841
-1.286,28.057
-0.670,8.941
2.099,-8.669
-0.605,-18.132
-2.254,-0.033
0.516,24.858
0.504,20.370
-3.735,-8.732
-3.022,-19.514
2.934,3.020
5.348,34.870
1.001,38.796
-3.912,3.942
-6.253,-33.423
-7.611,-36.614
-5.924,-7.493
-0.299,21.442
2.275,12.596
-1.873,-10.917
-1.043,-0.787
0.109,17.307
-5.235,8.950
-7.641,-5.266
-4.706,-0.120
-4.631,0.774
-2.944,1.613
4.245,11.412
6.001,8.652
3.819,-8.907
0.707,-8.587
-5.445,0.232
-5.582,-9.745
-0.321,-18.210
4.033,1.673
3.758,14.731
0.752,8.775
1.222,2.200
3.716,-4.183
5.865,-5.199
8.904,4.301
11.001,10.494
8.374,1.622
5.724,3.679
4.024,21.933
-0.868,22.548
-5.811,-3.422
-7.166,-35.090
-5.998,-34.195
-8.877,-5.407
-9.420,10.486
-4.374,-4.851
-2.979,-25.427
-4.600,-16.336
-1.375,19.194
5.453,37.086
7.658,8.810
0.753,-26.116
-1.663,-17.467
4.724,7.003
7.783,7.413
2.550,-3.798
-3.593,-11.339
-5.323,-17.388
-0.196,-8.431
5.902,15.824
5.909,14.236
3.360,-4.922
0.091,-11.908
-4.330,-2.761
-7.342,14.901
-7.697,15.685
-5.738,-5.410
-3.009,-18.972
-3.065,-21.428
-3.952,-21.836
-3.096,-17.505
-2.546,-7.131
-2.014,3.992
-0.339,8.343
-0.279,-3.570
-1.287,-16.433
3.599,-4.837
7.798,14.044
2.565,11.806
-4.773,-0.136
-7.214,-1.895
-2.290,3.813
4.342,1.083
4.929,-5.575
-1.820,-9.168
-6.189,-7.097
-0.368,9.371
7.808,22.647
9.876,15.599
6.455,-0.923
-1.191,-20.387
-6.621,-26.160
-1.845,3.732
10.611,35.841
14.489,15.085
10.474,-27.383
6.774,-21.672
4.018,17.305
-0.740,24.673
-6.115,2.338
-9.183,-9.566
-4.502,5.756
-0.626,26.031
-9.477,11.839
-13.037,-2.222
-9.569,-29.153
-4.650,-39.190
-4.147,-26.620
-15.139,-33.824
-18.003,-40.489
-4.785,-19.745
-1.395,2.545
-9.969,12.016
-11.095,7.916
-3.904,3.546
-0.694,4.367
-1.463,7.941
-5.529,2.315
-7.592,-1.618
-0.824,-1.591
3.053,-4.667
3.379,-3.752
3.125,3.128
0.830,13.682
1.621,17.450
4.307,13.630
-0.872,3.748
-8.870,-6.098
-7.278,-4.597
0.417,5.091
1.235,9.496
-1.031,14.095
-2.979,11.041
-4.205,-1.914
-4.461,-13.552
-3.399,-13.086
-0.615,9.985
4.582,22.020
5.899,-3.685
-1.878,-21.829
-9.266,-10.050
-9.158,7.775
-2.135,5.849
4.864,-3.867
9.060,-4.834
4.707,-2.923
-3.255,-7.906
-3.596,-10.214
1.615,-1.011
1.055,2.194
-1.604,7.022
2.097,22.287
3.809,22.275
1.009,-2.362
-1.158,-17.291
-2.420,-9.901
-1.535,8.304
3.401,20.866
5.370,11.164
0.699,-4.519
0.900,5.350
6.037,28.809
7.036,17.983
0.803,-12.736
-6.603,-17.882
-6.085,-5.734
-0.241,0.666
2.044,5.856
2.756,5.067
3.085,-3.738
0.359,-1.600
0.446,19.693
-0.428,17.846
-4.393,-14.752
-2.237,-20.024
2.633,3.641
2.573,14.508
-5.420,3.723
-8.790,-10.917
1.156,-1.854
7.531,11.829
0.013,2.442
-8.372,-0.957
-11.344,5.275
-9.742,7.801
