Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 3:50:39 PM
Start Time: 00:00:00.000		End Time: 00:01:00.938

EEG-C,EEG-D
256,256
-17.593,-98.737
-14.659,-67.803
-12.012,-55.786
-9.811,-33.945
-6.778,-10.302
-5.469,14.519
-2.404,33.612
-0.132,23.260
-3.664,-6.849
-4.946,-15.189
-4.321,-3.331
-2.869,6.758
5.150,9.497
4.649,5.459
-6.320,-2.804
-11.500,-22.011
-8.749,-32.534
-3.743,-8.998
-2.774,24.670
-3.049,37.353
-6.732,12.347
-16.655,-27.641
-19.712,-38.014
-12.295,-3.610
-7.039,16.995
-10.373,0.913
-11.261,-13.620
-7.406,-27.560
-5.442,-35.538
-4.337,-18.256
-0.532,-10.632
1.047,-20.009
-2.646,-19.571
-7.040,-16.844
-7.246,-7.854
-7.389,-8.565
-9.444,-20.319
-11.598,-25.729
-12.454,-27.970
-10.659,-21.772
-4.687,5.673
4.442,30.237
13.931,41.815
13.495,10.669
5.143,-46.796
6.118,-55.945
12.471,-8.384
11.642,35.761
11.681,53.770
16.477,28.852
15.541,-5.457
14.297,18.071
12.656,40.557
2.967,-0.040
-5.758,-43.249
-4.518,-30.371
5.596,14.474
14.354,40.617
14.414,32.929
9.814,7.145
7.405,-4.187
6.486,5.782
5.293,15.037
5.027,22.514
6.303,26.492
4.373,6.993
4.073,-9.446
4.835,-9.651
6.506,9.713
3.929,20.065
-1.184,5.444
1.379,-0.170
2.801,7.053
-1.823,9.099
-1.976,13.890
0.455,25.367
-0.350,27.868
-1.682,11.235
-1.084,-1.102
0.101,1.787
2.531,15.534
5.525,28.819
4.011,13.793
-2.193,-8.642
-4.833,0.228
1.619,31.753
8.512,48.008
4.796,8.035
-1.638,-38.400
1.054,-18.803
8.871,28.011
11.039,33.564
4.649,-2.614
-0.957,-29.098
4.938,-18.375
12.133,4.973
11.153,16.196
5.511,10.626
0.517,5.914
-2.191,7.283
-0.151,17.949
0.350,18.870
-10.058,-9.149
-20.531,-34.079
-14.834,-31.347
