Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 4:12:59 PM
Start Time: 00:00:00.000		End Time: 00:01:02.625

EEG-C,EEG-D
256,256
-2.369,31.656
-3.996,-9.769
0.190,-33.343
2.122,-57.278
3.322,-28.940
3.730,-11.018
6.325,6.706
5.542,37.251
1.517,35.471
-1.009,-10.102
-5.270,-40.427
-2.321,-8.318
5.938,51.520
6.518,49.633
1.281,-7.285
-1.977,-33.165
-1.883,-23.996
-0.681,-22.813
-1.845,-20.134
2.840,12.319
8.901,44.621
5.151,27.132
-1.899,-15.069
0.659,-20.262
4.477,3.069
4.894,26.362
5.576,22.423
3.310,-9.231
-2.350,-41.429
-1.168,-23.033
10.032,28.844
15.082,23.682
6.704,-24.681
2.089,-39.522
6.121,-3.794
6.731,26.614
-0.426,21.453
-5.054,15.769
-5.037,4.111
-8.376,-20.879
-14.311,-30.984
-14.943,-17.670
-7.376,-4.016
3.234,9.161
5.421,15.802
-4.276,-6.643
-9.431,-21.085
-3.468,-0.857
-0.264,17.021
-5.783,8.775
-8.778,-10.682
-3.862,-18.802
-0.235,4.232
0.537,29.634
3.173,25.016
4.084,-7.554
-2.799,-36.689
-8.167,-30.292
-4.562,1.288
1.694,23.823
-0.057,14.386
-4.201,-13.466
-0.618,-19.464
6.843,4.706
10.042,31.486
8.021,30.325
5.257,0.037
6.582,-18.349
4.780,-9.637
-2.363,2.183
-4.614,-4.958
0.693,-16.751
0.918,-11.128
-6.853,-3.636
-12.516,-9.031
-9.618,-7.963
-6.239,0.367
-5.931,5.654
-6.349,6.954
-9.617,9.488
-11.230,13.719
-11.519,13.139
-9.925,24.258
-6.881,13.491
-10.861,-27.029
-12.433,-29.787
-3.299,18.380
5.418,50.826
3.055,21.031
-3.637,-36.671
-1.540,-45.330
5.552,-2.200
4.171,29.836
-3.362,22.432
-1.335,-3.059
6.608,-15.121
12.743,1.917
16.091,28.136
12.402,22.768
6.401,3.283
7.214,2.674
7.577,9.268
6.140,13.266
10.966,10.389
13.175,-5.679
8.140,-20.278
5.769,-14.663
8.304,-11.031
7.625,-20.224
6.566,-22.410
11.231,-11.493
16.236,-0.681
12.576,-0.552
9.190,-1.245
14.916,0.853
16.735,8.055
5.779,5.336
-2.266,-10.223
-1.662,-10.110
4.048,13.861
6.429,30.081
1.629,13.893
0.268,-9.434
3.516,-21.497
0.977,-18.596
-3.926,-3.333
-4.368,7.727
-3.584,-0.172
-6.819,-12.022
-4.746,6.617
-2.558,24.908
-7.567,4.088
-9.683,-23.672
-0.683,-17.267
6.938,2.651
3.425,9.291
1.587,15.233
5.354,16.997
0.825,-5.652
-7.228,-23.267
-3.357,1.970
6.321,38.221
1.069,28.123
-15.872,-15.334
-18.114,-14.208
-6.168,18.148
-0.768,17.356
-3.675,-5.279
-7.332,-15.184
-10.561,-16.017
-7.805,-7.259
-3.193,9.082
-3.132,6.355
-5.443,-14.521
-6.390,-19.873
-3.137,4.332
1.420,21.368
2.324,22.084
-1.414,12.116
-5.941,-8.603
-7.925,-12.496
-7.971,1.034
-7.489,-1.872
-7.488,-16.963
-6.200,-7.480
-5.451,7.358
-9.124,-5.659
-11.752,-25.775
-6.739,-10.915
0.377,20.481
-3.849,14.569
-15.248,-19.693
-21.029,-34.880
-15.241,-9.964
-3.635,24.990
-0.369,21.121
-4.188,0.737
-3.049,-10.262
-0.055,-9.269
-1.685,-2.607
-7.128,-2.295
-14.388,-24.837
-11.688,-38.498
-2.607,-13.073
0.952,17.910
-1.962,3.954
-5.013,-31.588
-4.041,-37.296
-0.732,-2.910
4.034,37.018
10.218,42.155
10.177,5.386
2.978,-22.349
1.012,-2.781
4.919,25.144
5.956,16.302
4.589,-9.714
4.174,-12.170
4.887,9.319
5.926,13.164
4.587,-4.608
2.992,-11.431
0.974,-13.406
1.344,-14.100
5.253,4.704
5.942,16.023
5.081,5.644
6.519,-3.383
9.335,1.957
12.187,10.997
14.277,11.028
17.188,7.244
18.833,5.627
14.456,3.278
6.447,-1.887
6.655,-0.311
10.965,10.059
4.961,25.287
-4.408,23.429
-5.512,-4.183
-3.755,-27.473
-3.813,-19.679
-2.432,7.392
0.502,21.837
-0.673,6.920
-9.756,-21.625
-17.389,-29.170
-13.072,-7.812
-3.987,14.045
-2.235,10.562
-9.917,-20.137
-12.127,-23.741
-2.504,11.593
4.052,26.041
-1.974,3.511
-9.672,-9.549
-10.686,-2.606
-5.752,10.002
0.332,20.798
0.152,13.790
-0.582,-3.994
2.010,-7.645
4.941,4.926
6.700,16.389
1.639,2.391
-4.588,-22.686
-4.521,-29.979
-2.557,-14.739
-1.584,0.957
2.939,-3.294
10.135,-9.370
11.544,-7.253
7.144,-0.028
6.711,14.768
10.191,22.595
9.815,15.356
9.280,11.750
9.503,13.667
3.771,4.186
0.370,7.392
2.773,18.029
4.879,15.586
3.056,0.820
0.902,-1.309
1.917,-3.770
0.158,-14.834
-7.144,-15.351
-15.206,-3.442
-12.561,5.305
-4.264,4.246
-3.104,4.003
-3.492,11.343
-5.082,16.549
-7.316,11.916
-10.873,-2.773
-11.164,-11.870
-2.317,3.699
8.704,21.829
9.098,12.349
1.104,-9.704
-4.077,-5.713
-3.543,18.134
0.974,21.392
5.476,5.419
0.927,-10.826
-7.972,-23.853
-10.544,-18.485
-3.939,1.699
1.652,11.761
0.049,7.651
-1.152,5.931
-1.532,8.841
-0.327,8.023
0.859,-2.466
-0.214,-17.212
3.355,-6.046
6.974,15.986
7.003,15.590
5.762,-2.991
3.188,-12.403
4.950,-1.105
10.194,12.384
7.444,10.991
-1.311,-4.095
-6.038,-15.093
-1.238,-1.713
5.768,18.795
7.613,19.473
1.735,-3.061
-4.144,-10.149
-3.691,-4.643
-1.714,-4.999
-0.268,-0.202
2.788,4.307
7.489,-5.166
8.105,-15.570
7.409,-2.560
7.695,23.101
5.399,20.202
6.400,5.569
10.741,0.147
8.424,-5.615
2.455,-6.201
-0.841,1.770
-2.539,1.844
-3.415,-3.234
-2.181,-0.692
0.756,-0.637
1.486,-2.406
-3.909,-2.591
-12.123,-0.354
-13.742,7.209
-11.728,9.674
-11.496,-0.127
-4.800,3.143
3.304,19.282
5.130,22.431
4.790,4.752
1.445,-7.935
-1.395,7.254
1.733,15.912
3.335,2.512
5.297,-0.054
6.890,1.325
4.154,-5.835
2.743,-6.823
2.754,0.919
0.363,8.333
-2.103,7.415
-0.366,9.638
0.546,17.171
-1.040,16.731
1.236,4.516
5.738,-12.717
5.751,-14.282
1.357,-5.120
-1.799,-3.425
-1.598,-8.775
3.315,-5.366
4.471,5.965
2.045,14.846
2.159,10.892
-2.504,-10.192
-9.301,-27.659
-5.172,-25.707
5.985,-10.314
11.454,4.176
5.694,2.884
-2.212,-8.014
-2.004,-6.716
1.682,8.231
2.066,21.123
2.913,8.657
6.299,-10.847
5.144,-10.882
0.904,-9.294
5.970,-0.319
10.468,14.857
2.173,8.279
-7.329,-13.901
-0.839,-3.723
8.954,14.340
5.824,2.588
-0.348,-12.911
-0.022,-7.168
1.309,-3.158
1.003,-0.543
2.442,2.816
6.180,5.996
7.073,8.252
2.656,1.236
-0.978,0.846
-2.688,6.316
-4.018,1.354
-4.716,-1.375
-1.925,3.029
1.561,-3.376
0.332,-13.870
1.599,-6.162
8.097,6.685
12.098,8.479
5.265,-9.799
-2.290,-16.733
0.728,2.368
7.237,14.953
5.051,9.302
-0.779,3.005
-2.324,-1.409
-1.265,1.344
-2.092,-1.379
-2.840,-14.095
-1.887,-17.135
-1.153,-8.322
1.463,-1.346
1.438,3.575
1.495,14.018
0.614,9.980
-4.285,-13.371
-5.297,-19.640
-2.545,-2.086
-2.919,9.651
-4.521,2.739
-7.903,-13.722
-14.623,-16.161
-16.907,-9.244
-9.417,4.221
-1.294,12.917
-3.237,0.596
-11.211,-20.070
-12.259,-16.721
-8.345,5.806
-10.021,10.659
-10.492,-1.961
-4.454,-10.534
-1.990,-5.644
-5.650,4.963
-11.016,-0.493
-9.213,-9.473
-2.116,-10.065
2.907,-7.239
4.694,-8.013
-0.474,-12.151
-4.799,-8.773
-0.737,0.183
4.875,4.333
4.664,3.636
2.795,-2.936
1.948,-14.963
2.597,-11.601
2.355,7.990
0.656,14.819
0.240,-0.479
2.189,-12.110
9.327,0.973
15.043,18.007
10.621,6.634
5.354,-8.014
7.242,5.732
5.818,12.212
2.629,-0.530
3.193,-4.647
3.611,-0.100
1.195,-0.119
2.515,4.819
8.179,11.496
9.658,7.097
8.794,1.163
8.103,4.215
6.235,16.197
2.856,26.368
-1.490,9.670
-3.435,-18.712
-2.709,-23.371
-6.295,-11.470
-9.085,5.392
-4.872,14.800
2.027,11.610
5.367,9.085
5.066,11.879
1.005,4.609
-6.685,-17.926
-8.712,-21.299
-3.545,1.714
0.893,15.648
0.314,6.310
-2.097,-3.209
-2.720,5.612
-1.873,11.918
-3.434,3.363
-3.211,-5.375
2.000,-7.410
6.663,-5.969
4.954,-1.840
3.197,13.823
2.579,17.781
-2.685,0.150
-9.581,-7.018
-15.396,-10.588
-13.353,-20.153
-6.518,-20.372
-4.793,-9.409
-4.353,2.458
-0.111,5.222
2.483,4.591
1.150,0.957
-0.835,-2.298
-1.609,2.254
-0.133,-2.297
2.405,-12.170
2.028,-6.749
-1.795,-12.085
-5.331,-26.873
-2.973,-20.317
5.852,9.043
11.164,16.586
9.984,4.390
9.635,5.136
10.620,15.900
9.940,15.765
10.031,14.091
10.212,11.627
6.051,3.594
2.553,0.865
2.638,-0.130
3.004,8.431
4.502,16.458
6.051,14.049
4.821,-0.013
3.282,-10.485
3.988,-3.929
5.113,8.989
4.247,8.663
1.124,3.022
-4.284,-3.612
-7.469,-18.963
-7.028,-20.533
-4.388,-7.450
-0.927,4.437
0.423,5.302
-2.646,-5.069
-5.287,-10.469
-5.292,-8.562
-4.581,-3.221
-2.685,6.990
-2.846,12.619
-7.007,3.469
-7.278,-11.027
-5.860,-17.823
-6.816,-14.319
-9.124,-5.344
-8.381,-1.480
-4.045,3.331
-1.379,9.543
-1.340,8.687
-3.280,2.683
-2.517,-2.049
4.308,-0.235
9.727,9.647
3.967,3.881
-5.318,-10.752
-11.059,-20.526
-14.907,-21.168
-14.256,-14.861
-7.302,-1.992
-4.770,-3.782
-12.669,-11.216
-14.232,-3.878
-5.519,1.853
2.433,0.152
2.932,-9.542
1.852,-15.388
2.592,-3.358
1.306,11.733
-0.781,15.221
2.141,14.376
1.511,0.039
-1.322,-14.045
2.940,1.068
4.239,14.446
-0.387,-3.226
-0.357,-16.419
2.018,-11.181
-0.128,-1.613
-4.076,5.365
-5.082,7.391
-1.203,12.891
0.139,10.257
-3.627,-6.179
-3.782,-12.639
0.481,-0.742
6.325,13.804
7.492,7.541
4.031,-7.641
1.865,-12.308
-0.488,-5.248
3.317,5.521
8.991,9.025
6.486,7.254
0.646,-5.659
-0.780,-9.503
-4.308,-0.774
-9.321,-13.956
-4.976,-26.129
-4.701,-17.899
-11.633,-6.192
-9.178,7.744
1.287,19.044
3.893,11.223
2.197,-5.951
4.729,-12.285
10.804,-2.100
14.322,12.187
13.948,23.854
9.666,17.717
8.069,-12.692
9.942,-24.046
9.198,-6.018
10.751,14.281
14.995,18.760
13.512,2.623
9.559,-7.201
10.283,7.505
5.816,13.930
-3.482,9.126
-7.338,16.493
-6.162,23.229
-3.769,11.812
-1.289,9.513
-0.804,9.040
-2.844,-2.002
-0.537,-3.667
3.562,5.319
-0.770,-1.243
-6.482,-5.876
-2.209,2.533
4.536,7.510
-0.347,5.970
-6.945,1.209
-3.157,-2.433
2.209,11.290
1.429,15.778
-4.068,-5.711
-7.784,-21.921
-3.748,-11.183
1.548,2.413
-1.327,1.831
-8.991,-0.227
-10.688,8.515
-4.942,16.877
0.207,20.203
0.059,11.056
-0.918,-5.452
0.070,-11.098
2.017,0.644
1.617,10.088
0.635,6.184
2.391,0.244
8.631,11.768
12.045,17.887
5.911,4.442
-0.372,-3.908
1.091,6.764
0.309,9.825
-2.292,3.908
-6.286,3.251
-9.867,4.689
-4.199,2.042
2.828,0.801
1.266,8.170
-3.011,7.126
-2.684,-2.655
0.405,1.615
0.005,6.920
-1.212,-7.184
1.737,-14.828
5.381,-5.157
4.595,0.931
-2.726,-2.380
-8.250,-6.250
-1.778,-4.291
8.033,-2.265
7.338,-1.750
1.197,5.765
0.598,8.977
5.275,2.321
6.927,-1.873
2.331,1.035
-3.651,-4.919
-5.646,-13.787
-2.945,-11.870
0.182,-2.717
2.200,3.863
4.555,-0.261
4.467,-0.207
0.854,-0.627
-0.815,-8.965
1.899,-8.117
5.831,14.047
6.141,19.945
0.086,-3.907
-3.959,-15.695
1.453,-4.128
5.596,7.499
5.252,-0.697
7.043,-8.521
6.145,10.062
0.849,18.530
1.109,3.484
5.407,-2.699
3.502,-1.010
-0.043,0.634
-0.237,7.040
-4.070,-4.536
-5.685,-17.159
-0.440,-10.449
3.778,3.996
2.114,6.135
-0.157,2.851
2.738,13.701
3.858,13.584
2.502,7.992
-0.367,0.307
-4.304,-9.524
-3.448,-10.391
-0.200,-5.469
-2.986,-1.115
-4.314,6.306
0.865,12.758
6.249,11.036
7.513,2.274
7.256,1.352
7.195,0.708
8.850,4.658
9.057,13.002
3.307,2.855
-2.092,-11.716
-2.576,-11.352
0.791,3.265
5.368,16.706
6.146,8.186
7.746,7.139
8.332,3.238
2.776,-18.860
-2.746,-25.794
2.313,-4.964
10.190,14.544
11.521,10.977
11.292,4.475
11.975,6.703
11.132,3.649
11.851,6.507
11.201,15.011
3.878,2.107
-3.355,-11.701
-4.723,-2.784
-6.115,3.263
-10.329,-9.547
-9.950,-18.749
-5.309,-11.032
-4.097,-0.481
-4.708,6.226
-4.127,7.902
-3.286,9.107
-3.267,7.983
-4.320,-6.192
-8.331,-14.088
-8.698,-8.943
-5.929,-9.196
-7.093,-15.765
-11.106,-19.633
-11.179,-3.656
-6.759,19.293
0.452,18.662
4.032,-6.658
0.777,-20.661
-3.358,-13.596
-4.838,-5.325
-6.950,-5.552
-9.140,-3.085
-6.923,3.604
-0.369,4.351
3.888,-5.308
4.498,-10.151
5.077,-7.396
5.511,-3.621
4.949,-3.188
4.244,1.672
-0.544,6.999
-5.381,10.759
-5.618,5.601
-6.801,-9.254
-6.367,-11.361
-0.633,-1.908
3.303,-1.306
1.774,-1.743
-0.587,3.692
-2.598,-1.554
-5.933,-12.870
-5.883,-17.565
-3.758,-7.746
-0.943,16.083
0.402,9.177
-3.919,-11.578
-7.860,-7.808
-3.068,8.337
0.431,7.504
-0.484,-8.191
0.475,-12.708
4.688,1.005
8.385,19.062
5.753,14.165
-1.261,-12.185
-1.260,-23.062
5.317,-9.654
9.007,12.360
5.621,16.402
-0.745,10.659
-3.229,6.486
-1.405,0.782
-2.845,2.453
-5.720,5.867
-3.975,2.434
-1.364,-1.309
-0.338,4.371
1.698,8.644
3.343,5.285
8.212,7.451
9.996,10.889
5.677,17.155
2.477,4.461
3.929,-16.818
2.102,-22.949
-1.811,-6.342
1.035,12.082
3.086,8.493
-1.246,-3.202
-3.540,-9.306
-0.520,-3.549
1.061,-2.769
-1.318,-9.080
-0.373,-1.874
7.366,8.068
14.254,9.711
12.805,6.433
5.509,-1.222
3.177,1.290
7.758,16.151
10.874,32.118
6.160,34.769
-3.987,13.346
-8.669,-3.453
-8.894,-2.092
-9.918,-0.855
-9.772,-11.080
-4.041,-15.849
1.633,-3.995
-3.011,-2.776
-9.131,-10.452
-5.679,-3.899
1.747,12.795
2.332,15.302
-0.759,3.199
-0.505,-8.414
-1.107,-15.545
-4.963,-15.236
-7.693,-6.643
-6.736,-4.923
-2.002,2.358
2.566,17.736
1.694,18.318
1.066,5.851
1.327,-3.800
-1.363,-0.737
-4.593,8.499
-5.992,5.378
-4.025,-6.469
-1.720,-8.818
-2.681,-1.959
0.915,5.003
3.311,5.245
-2.029,0.123
-6.688,0.329
-3.921,9.549
1.980,18.921
3.289,12.115
3.637,5.582
3.680,3.413
1.653,-0.228
-0.404,-4.184
-3.529,-9.618
-5.833,-1.677
-1.211,11.583
7.871,6.213
6.418,-12.583
-2.897,-14.281
-0.429,2.964
5.041,12.577
1.647,6.262
-0.332,2.002
1.908,5.565
2.036,2.817
1.870,0.260
1.692,3.414
-3.149,1.122
-6.293,-4.081
-5.981,-2.942
-4.835,-0.957
0.037,2.113
1.533,6.374
-1.060,2.887
0.803,-3.787
4.180,-2.875
5.252,1.836
2.816,5.963
3.613,3.782
8.348,-0.007
11.132,9.549
9.588,23.672
3.835,12.312
1.491,-12.536
4.715,-6.092
4.068,6.288
0.756,-4.071
1.330,-9.424
3.718,1.826
2.659,5.185
-2.792,-11.983
-6.656,-21.829
-2.701,-2.518
0.615,10.110
0.052,-7.491
0.923,-17.442
1.830,-4.059
-5.233,-0.656
-10.327,1.423
-5.120,12.660
1.239,18.343
0.624,2.879
-3.720,-14.562
-2.807,-6.805
-0.569,3.803
-1.180,-1.263
