Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:50:36 PM
Start Time: 00:00:00.000		End Time: 00:01:01.750

EEG-C,EEG-D
256,256
-16.218,-219.352
-12.700,70.855
-2.994,-163.326
5.471,-224.966
4.730,-4.377
1.439,63.097
0.397,-14.713
-3.344,-16.157
-5.755,62.832
-0.871,52.239
5.191,-58.569
1.705,-95.809
-5.847,-0.184
-6.067,81.211
-0.561,36.271
5.434,-47.801
10.910,-47.792
6.967,12.554
1.101,36.071
0.807,3.079
1.503,-13.317
-0.778,8.751
-6.089,11.004
-5.811,-26.909
-5.523,-46.019
-8.588,-3.974
-5.983,49.538
1.772,34.313
3.444,-39.832
-0.805,-67.463
-1.764,-4.224
-0.747,59.306
-1.533,33.727
-0.682,-34.821
-1.201,-51.263
-0.461,1.677
1.749,46.819
-2.692,19.927
-9.345,-29.470
-7.913,-32.606
-4.749,0.009
-6.578,14.483
-9.515,1.620
-10.795,-10.227
-6.971,-3.623
2.181,-0.431
12.844,-19.233
24.176,-35.358
29.153,-19.970
24.006,13.886
15.390,18.731
4.013,-16.980
-2.909,-35.949
-3.497,-1.916
-3.772,40.726
-5.099,29.836
-4.497,-22.449
1.198,-45.662
5.756,-5.624
6.634,49.307
2.590,42.350
-8.284,-20.594
-16.875,-52.104
-12.017,-12.247
-4.920,35.786
-6.926,32.157
-10.746,-13.879
-7.067,-36.487
-2.341,-9.691
-7.908,20.906
-14.723,12.395
-14.072,-13.752
-7.146,-18.420
-4.467,-4.580
-3.821,5.328
0.195,0.650
4.826,-6.135
4.259,-3.901
1.383,5.838
3.320,4.969
5.781,-13.835
2.420,-18.340
-3.869,7.350
-6.723,21.846
-3.137,-1.488
4.059,-28.914
6.369,-15.922
2.600,21.483
1.270,31.890
-2.410,-4.578
-4.139,-38.350
1.122,-22.635
4.557,22.872
4.448,37.384
-1.133,4.562
-7.152,-28.339
-1.841,-13.310
3.820,28.400
1.209,41.148
-3.792,6.192
-5.668,-28.823
-4.607,-17.190
-5.060,23.894
-6.001,38.695
-1.818,10.060
5.877,-19.625
9.831,-13.396
9.449,17.027
2.788,25.254
-5.641,-2.814
-7.134,-24.874
-1.821,-15.571
1.152,5.916
-5.239,8.142
-9.325,-9.599
-6.307,-16.438
-3.272,-8.334
-4.232,-4.154
-2.182,-9.944
6.570,-10.324
6.283,5.752
-5.160,14.443
-5.701,4.238
0.607,-11.791
0.715,-10.823
-3.142,7.994
-4.935,20.426
-5.455,12.584
-3.534,-9.065
0.799,-11.541
1.430,15.960
-3.603,35.568
-9.405,19.516
-8.892,-15.450
-1.081,-28.115
5.166,-1.423
5.139,33.539
4.768,29.793
4.681,-6.917
1.699,-28.173
2.639,-6.287
9.354,28.804
7.031,25.856
2.260,-9.151
8.249,-28.499
7.943,-7.864
-7.158,21.668
-14.422,17.736
-1.942,-12.473
5.633,-25.754
6.124,-7.297
4.437,19.346
-3.275,19.932
-7.589,-3.969
-5.493,-16.200
-3.125,-6.065
-2.551,8.798
0.994,9.297
1.889,-3.807
-3.906,-8.469
-7.510,2.839
-0.099,10.531
10.458,2.847
13.451,-0.248
4.405,5.527
-1.778,8.353
5.073,6.514
12.235,1.242
9.042,-1.518
4.127,5.383
-2.825,7.763
-13.253,-11.393
-13.788,-28.613
-3.534,-18.993
-1.178,1.273
-7.230,10.778
-7.640,-1.665
-1.588,-23.462
1.139,-23.036
-4.271,3.244
-5.032,22.941
2.988,7.516
6.602,-21.174
-1.508,-24.687
-5.187,-0.783
-1.811,14.378
0.275,0.869
-3.596,-20.587
-6.764,-19.235
-1.111,8.534
3.788,26.361
-1.746,8.221
-6.240,-20.927
-1.665,-27.505
-2.728,-6.282
-3.940,12.496
2.736,4.387
4.661,-18.353
-0.596,-27.642
-0.126,-6.877
5.099,19.304
5.610,9.337
2.750,-16.553
-0.030,-19.122
-6.233,-3.626
-7.301,8.545
-1.816,4.656
-1.819,-10.817
-0.047,-13.179
1.612,2.515
-1.788,13.735
-5.638,8.538
-7.986,-6.538
-6.380,-14.764
-0.170,-5.292
5.122,2.674
3.551,-2.967
-0.029,-3.382
-3.242,2.510
-3.226,7.091
2.519,2.509
4.146,-11.563
-3.592,-14.053
-5.003,6.030
0.610,19.181
2.159,2.827
-2.566,-14.755
-0.800,-6.639
1.957,14.405
-7.264,13.521
-14.420,-9.435
-5.045,-18.868
3.479,-1.348
1.073,20.838
1.628,20.780
2.888,1.077
-1.909,-12.682
-2.008,-2.241
3.425,22.412
4.101,28.036
2.770,6.140
1.468,-16.073
-2.212,-10.262
-4.189,17.547
-0.504,29.732
3.444,8.030
2.880,-18.025
0.284,-15.460
2.032,11.604
5.929,26.553
3.280,10.211
-0.262,-10.928
1.630,-7.834
9.396,9.073
7.581,13.510
-2.173,2.063
-6.918,-9.983
-1.709,-7.468
4.175,6.773
2.577,14.852
-0.298,6.344
2.627,-4.567
4.809,-3.612
1.666,2.411
-0.531,7.408
-1.111,1.956
3.246,-6.857
7.725,-5.126
3.363,4.064
0.175,8.196
-1.129,1.127
-4.210,-5.456
-3.118,-0.800
-0.252,1.630
-0.118,-3.880
4.404,0.717
6.812,7.911
2.353,7.886
-2.630,0.564
-2.878,-9.368
-2.268,-9.505
-2.379,2.959
-2.524,11.964
-3.433,5.798
-5.530,-5.595
-1.962,-4.939
5.843,8.899
3.239,19.032
-5.115,17.034
-8.474,2.682
