Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:33:23 PM
Start Time: 00:00:00.000		End Time: 00:01:02.313

EEG-C,EEG-D
256,256
11.846,22.859
1.462,7.027
6.845,18.832
13.640,41.301
7.867,30.599
6.262,21.922
8.975,22.796
7.412,20.816
4.944,13.475
3.889,13.743
2.716,17.500
6.169,17.609
10.079,17.623
8.326,17.768
1.000,14.678
2.457,14.750
12.087,14.217
11.024,7.172
0.075,0.729
-4.986,2.961
-1.781,10.214
-1.780,9.187
-8.125,-0.456
-10.842,-5.974
-6.514,-5.604
-3.842,-10.615
-6.041,-21.089
-4.188,-22.560
6.372,-19.034
18.241,-16.779
21.737,-13.893
15.038,-12.586
7.413,-6.841
7.039,4.040
8.651,11.122
6.709,9.781
3.815,4.601
2.227,4.413
2.625,10.613
2.937,10.534
-1.667,1.495
-5.090,1.022
-2.574,3.536
-1.610,2.161
-5.976,-1.084
-6.691,-2.350
-4.993,-4.654
-6.429,-4.364
-8.212,-1.513
-7.166,0.161
-8.180,-5.619
-12.174,-11.513
-11.905,-6.143
-8.488,-2.415
-7.002,-6.407
-5.911,-10.628
-4.051,-8.974
-3.332,-8.919
-4.701,-14.298
-6.965,-12.472
-9.419,-6.118
-8.818,-5.558
-3.275,-8.596
1.552,-8.343
0.917,-8.225
-2.543,-7.790
-5.014,-6.614
-2.678,-2.710
-0.161,-3.379
-1.498,-11.038
-5.127,-16.632
-6.791,-12.989
-4.495,-7.811
-1.420,-9.991
-1.809,-15.980
-3.171,-18.916
-2.906,-15.529
-1.293,-10.437
-1.419,-12.063
-2.606,-18.571
-1.386,-13.652
1.470,-10.331
4.192,-16.779
1.193,-19.155
-6.699,-15.593
-9.369,-12.796
-1.270,-8.312
2.156,-6.241
-1.817,-5.026
-1.685,-8.639
1.950,-12.430
1.503,-7.777
-2.039,1.693
-5.633,-1.226
-3.591,-4.558
1.681,-4.978
6.410,-4.327
8.856,1.937
6.199,9.648
2.333,13.212
-0.341,10.775
-6.794,5.701
-8.490,0.173
-4.559,-0.392
-0.367,2.508
