Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 3:44:27 PM
Start Time: 00:00:00.000		End Time: 00:01:01.563

EEG-C,EEG-D
256,256
52.851,-2.870
32.913,-25.518
1.068,20.602
-12.444,35.817
-1.883,17.168
10.383,-11.705
14.344,-18.407
13.436,-9.150
5.412,-6.173
-5.530,-3.064
-4.365,10.792
7.275,15.586
14.207,0.135
11.161,-5.144
1.229,7.830
-3.445,13.919
-1.913,-4.830
0.878,-20.587
4.311,-5.440
4.227,13.492
-2.076,5.403
-3.265,3.432
-0.603,10.187
-1.929,-4.450
-4.110,-25.466
-2.662,-19.536
3.481,9.446
6.249,24.552
1.667,10.158
-3.153,-5.965
-4.121,-10.527
-6.462,-11.491
-11.670,-2.659
-13.352,9.873
-10.315,5.411
-6.936,-3.068
-6.851,3.221
-10.445,13.948
-12.039,15.669
-5.099,9.352
1.143,-3.718
-1.337,-15.372
-7.090,-15.830
-10.026,-7.072
-10.876,-3.159
-8.489,12.568
-3.125,25.464
0.624,6.576
1.284,-16.487
4.215,-0.989
5.953,24.298
3.328,14.352
8.212,0.897
13.791,2.729
16.254,12.149
14.822,12.524
10.064,-0.984
8.527,-1.896
11.571,15.389
14.995,20.346
17.833,25.170
16.957,27.780
11.442,12.777
9.573,-3.682
8.246,-3.448
1.899,14.524
-3.123,28.703
-0.209,21.050
4.499,12.841
4.178,7.194
2.891,11.045
1.189,14.689
0.297,15.488
1.571,17.480
5.194,19.663
2.450,19.865
-4.299,11.900
-7.752,13.879
-7.913,21.843
-10.320,8.533
-14.362,-12.635
-13.869,-17.242
-7.402,-3.628
0.192,18.148
2.425,27.642
1.711,11.526
-0.231,1.349
-2.757,12.956
-6.768,10.869
-11.107,-2.706
-15.821,-11.289
-14.327,-10.552
-7.233,-0.307
-8.633,11.496
-16.031,16.118
-14.850,17.084
-2.476,16.575
6.648,14.532
4.341,18.274
-0.516,20.531
-5.101,9.809
-11.302,-4.909
-13.524,-12.535
-7.621,0.209
-2.106,8.207
-0.915,-4.633
-1.219,-22.907
-2.852,-28.687
-6.646,-18.138
-12.245,-3.623
-10.434,8.780
-0.747,14.888
2.736,5.178
-0.103,-11.209
3.132,-14.530
8.652,3.351
14.060,29.214
16.945,29.220
13.559,12.757
11.926,3.988
10.311,5.155
6.607,6.494
1.563,-0.101
-7.088,-15.326
-15.148,-24.358
-15.041,-16.290
-11.951,0.414
-15.079,5.136
-18.522,2.114
-17.736,3.324
-14.237,-2.412
-10.815,-10.236
-10.673,-1.911
-11.405,3.750
-7.976,1.305
-10.295,-5.614
-21.656,-13.725
-23.343,-3.945
-8.094,16.383
1.661,4.518
-0.305,-20.677
-1.713,-25.141
1.359,-18.515
1.356,-14.618
-0.703,-10.287
1.796,-8.889
3.723,-3.868
-0.901,6.375
-2.146,3.231
4.330,-4.529
13.809,-3.058
18.351,-0.935
14.793,-8.883
10.892,-8.136
11.580,3.432
14.447,8.425
16.963,7.666
15.508,11.770
10.269,6.414
7.558,-6.139
10.657,-6.613
15.583,1.685
18.018,18.191
15.011,13.327
6.424,-13.535
-5.634,-19.501
-13.317,0.543
-8.385,15.084
5.565,22.005
10.411,10.102
5.398,2.694
3.762,6.438
2.200,-10.002
-0.566,-15.973
-1.197,0.908
1.434,12.723
2.559,4.400
2.408,-2.714
2.903,1.093
2.435,13.258
2.047,20.969
5.286,22.339
11.920,17.286
12.091,1.813
7.109,3.005
3.545,6.278
1.671,-6.959
-1.698,-24.816
-2.854,-25.753
4.047,-1.222
10.565,14.557
11.479,14.635
5.416,8.738
1.909,-5.201
8.646,-7.431
12.142,3.967
6.850,15.848
2.077,17.222
0.505,5.892
-1.152,-0.664
-3.153,1.134
-5.084,9.462
-4.079,9.947
-2.087,1.056
-5.931,-9.412
-10.721,-6.271
-8.404,-1.579
-3.918,-3.638
-4.926,-0.852
-5.285,13.873
-4.807,22.850
-6.102,9.133
-2.629,-5.101
-1.534,-14.296
-3.216,-18.298
-1.192,-12.098
-0.650,-0.742
0.263,9.501
4.836,10.928
7.909,-4.888
4.320,-25.306
2.553,-26.819
7.268,-1.959
7.402,14.886
0.786,10.855
-0.604,6.137
4.634,7.779
2.993,3.429
-4.234,-4.689
-8.430,-1.131
-7.966,1.919
-5.729,-23.843
-9.273,-51.137
-14.205,-38.406
-9.829,-7.403
-6.868,-10.052
-6.192,-22.732
-3.499,-25.298
-3.737,-23.889
-6.260,-22.182
-4.252,-27.241
0.742,-29.827
2.428,-19.730
1.747,3.638
4.411,12.234
9.573,1.354
10.618,-7.972
7.076,-10.030
7.993,-12.403
12.554,-18.540
10.386,-18.156
