Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:38:10 PM
Start Time: 00:00:00.000		End Time: 00:01:00.938

EEG-C,EEG-D
256,256
5.415,24.159
-0.806,9.635
-0.658,12.436
1.146,8.515
-1.885,0.124
-5.459,-7.885
-4.969,-10.676
0.623,2.502
5.526,14.927
2.074,8.951
-4.012,1.440
-3.242,-0.777
0.712,-2.635
0.650,1.846
-2.236,6.726
-1.082,3.382
1.786,-1.080
2.846,1.774
1.312,4.308
0.586,0.796
1.864,1.566
0.829,1.060
-2.531,-7.206
-4.037,-8.906
-2.181,-5.197
-0.711,-1.835
-0.317,1.427
2.146,1.143
2.745,-6.344
-0.222,-11.243
1.801,-0.612
4.096,12.309
-0.892,6.611
-4.882,-2.236
-2.055,-1.956
4.750,0.596
7.595,-0.429
2.647,-4.338
-1.545,-4.670
-3.718,-0.701
-6.553,-1.092
-6.378,-1.627
1.364,-1.597
6.221,-2.138
-0.723,-2.822
-5.704,-5.129
-2.502,-6.732
-1.606,-2.228
-2.690,3.793
-1.657,3.214
2.310,1.700
3.547,1.163
-0.685,0.733
-4.161,-0.545
-3.583,2.769
-0.116,11.077
1.556,4.438
1.610,-9.368
2.158,-7.824
0.338,1.278
-0.725,-0.036
-0.849,-8.959
-4.603,-11.201
-6.287,-3.913
-4.348,3.224
-2.486,-0.734
-1.236,-3.929
-3.496,-1.305
-5.252,-0.904
-1.115,-2.086
4.287,1.473
3.835,6.008
-0.374,6.201
-3.168,1.745
-2.050,-4.101
-0.815,-10.436
-3.891,-8.515
-7.009,0.639
-5.845,5.764
-2.604,4.898
0.124,-0.204
0.740,-0.533
-1.790,0.897
-3.023,1.348
0.086,2.413
2.001,1.247
1.201,4.117
7.202,8.426
9.613,6.575
-0.180,2.153
-10.046,-4.143
-8.233,-1.021
-1.866,5.175
2.844,5.854
6.663,4.011
2.625,-2.927
-7.752,-9.814
-15.513,-11.548
-15.390,-10.618
-8.052,-13.346
0.049,-21.261
6.452,-25.977
10.171,-24.140
12.824,-18.038
17.024,-5.975
20.872,8.265
19.139,15.805
11.341,10.696
1.356,5.291
-3.683,6.347
-2.619,4.445
-3.840,0.968
-4.095,3.886
0.949,9.402
2.805,8.289
-1.988,5.696
-1.996,9.031
1.972,12.536
3.136,10.727
-0.037,7.837
-2.920,11.923
0.212,18.285
1.671,19.809
0.160,14.448
0.920,10.409
-0.554,9.902
-2.806,13.111
-1.992,17.264
0.503,17.874
1.527,10.791
-0.863,6.105
-2.556,8.629
-2.546,5.360
-1.594,-2.686
-0.770,-1.250
-2.064,10.433
-3.568,15.882
-3.167,13.714
-3.621,6.073
-4.308,1.142
-2.534,2.720
-3.791,0.815
-9.100,0.367
-10.438,2.342
-5.186,4.939
-0.258,6.123
-0.729,5.783
-4.462,4.557
-4.004,1.507
-1.369,0.128
-3.321,-3.726
-4.136,-9.971
1.529,-7.325
4.271,-1.002
-0.475,-2.093
-1.911,-6.223
1.261,-4.550
0.852,-3.147
-4.603,-8.147
-9.337,-9.421
-6.305,-6.328
-0.773,-7.269
-0.516,-12.584
-5.016,-16.635
-7.983,-14.739
-5.746,-8.359
-3.899,-7.465
-2.350,-12.639
-1.982,-14.484
-5.132,-11.137
-8.168,-9.502
-10.303,-10.231
-7.347,-5.929
-1.162,-0.847
2.326,2.266
-0.085,0.539
-1.628,0.601
1.137,4.835
0.492,5.090
-2.290,2.736
-3.127,-3.993
-4.941,-9.733
-8.356,-12.902
-6.992,-19.233
-1.135,-18.807
0.417,-6.062
-7.361,-3.713
-14.735,-15.413
-11.942,-20.483
-6.373,-12.497
-4.305,-5.118
-6.212,-8.900
-11.214,-12.250
-12.162,-7.290
-7.482,-4.058
-1.834,-2.902
-0.964,-7.685
-3.730,-21.655
-4.135,-28.070
-5.153,-22.690
-9.789,-20.924
-11.001,-22.739
-6.342,-19.146
-4.183,-14.239
-5.747,-15.295
-5.044,-20.406
1.294,-21.212
4.685,-17.741
-1.616,-16.810
-7.638,-19.964
-7.571,-24.801
-6.118,-23.457
-3.646,-13.135
1.397,-1.520
6.899,2.595
6.162,-4.708
-1.496,-11.214
-4.575,-10.063
-0.502,-7.319
0.136,-10.378
-3.844,-12.452
-3.946,-6.235
-1.494,-4.627
-2.680,-4.930
-4.776,-2.921
0.052,-1.962
7.188,-3.936
6.710,-6.354
5.402,-3.627
5.645,-1.445
2.496,-1.740
1.165,4.164
5.891,9.749
10.008,8.554
9.369,10.224
5.597,11.198
3.663,4.269
7.152,2.921
8.842,12.257
8.763,17.387
10.579,12.499
9.847,5.894
5.067,2.760
2.546,3.780
4.063,-0.602
4.673,-2.484
2.895,6.730
2.592,10.524
2.899,3.996
2.853,2.872
4.376,8.122
5.123,5.110
4.918,2.954
4.773,6.298
1.710,4.282
0.466,3.849
5.130,8.712
10.221,13.006
12.650,16.803
10.811,22.129
6.373,23.475
4.842,19.527
6.449,18.586
6.702,20.203
5.103,16.558
5.551,11.631
7.639,10.561
7.707,14.059
6.324,16.057
9.833,12.489
12.055,9.466
7.614,11.433
4.669,14.129
8.480,14.072
11.480,12.858
9.358,14.472
3.576,16.510
-3.345,16.302
-4.731,13.890
1.154,11.912
5.399,13.483
5.107,15.170
5.976,12.325
7.942,8.760
8.193,8.431
9.320,12.160
8.893,13.484
6.645,13.612
4.865,10.878
4.120,10.880
3.321,10.145
6.351,1.985
11.090,-0.906
11.176,6.613
7.065,11.336
1.458,5.206
0.704,0.268
4.717,3.235
2.011,-0.344
-5.089,-5.461
-4.640,-3.625
0.984,-1.649
6.605,3.135
7.643,4.968
1.899,0.742
-5.450,-2.745
-6.347,-2.125
-1.541,-1.603
1.333,-0.918
0.832,0.022
0.602,0.381
1.364,0.909
2.390,3.144
5.386,6.527
5.783,-0.807
3.798,-11.838
4.651,-7.523
1.626,3.880
-5.386,3.776
-5.043,0.005
0.997,-2.636
4.367,-3.456
0.485,-2.244
-4.441,-1.576
-4.347,-2.706
-2.194,-0.890
-4.800,-2.399
-5.369,-4.739
-0.848,-5.738
1.746,-5.856
-1.886,-1.639
-7.168,1.752
-8.088,-0.410
-6.297,-7.591
-8.177,-17.499
-10.611,-22.729
-8.817,-21.657
-3.696,-26.149
1.787,-35.561
6.650,-36.630
12.957,-23.233
18.897,-7.966
19.814,2.181
10.993,2.107
1.833,2.380
0.083,12.784
-2.286,14.696
-3.973,4.084
-0.074,4.986
2.367,17.943
1.289,26.091
-0.518,24.683
-1.717,20.424
-2.455,19.464
-0.837,22.155
1.560,19.665
3.484,14.290
4.332,14.573
0.542,13.882
-5.179,10.917
-4.666,7.879
1.669,10.022
3.139,11.965
-0.720,9.952
-4.093,7.262
-4.418,8.991
-2.326,12.346
-1.232,12.013
-0.160,11.190
0.917,9.915
-1.814,8.574
-2.206,6.280
-3.062,2.207
-3.025,7.117
-2.764,9.906
-0.695,0.865
4.763,-3.588
7.755,-2.777
5.963,-1.392
2.900,0.013
3.397,-2.215
3.780,-7.730
-2.342,-9.995
-7.521,-4.239
-3.684,2.176
4.127,2.038
3.870,1.564
-2.791,1.738
-7.746,-3.084
-5.309,-4.707
