Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:18:08 PM
Start Time: 00:00:00.000		End Time: 00:01:02.125

EEG-C,EEG-D
256,256
-4.748,1.165
-3.125,0.772
-7.592,1.771
-12.187,4.776
-5.711,6.716
-4.150,6.628
-4.450,5.812
0.719,7.582
4.336,8.782
-0.393,7.623
-1.809,10.372
2.724,15.843
3.333,14.429
0.640,4.982
1.137,-0.089
-1.293,-2.099
-6.934,-4.237
-7.665,-4.185
-1.627,2.077
-1.383,4.605
-2.951,-0.107
-0.837,-3.686
-3.743,-4.309
-9.986,-2.053
-10.016,-1.126
-2.853,1.681
4.005,4.835
4.365,1.308
-0.683,-3.647
-1.159,-2.934
-0.412,-0.398
-5.892,-2.112
-7.635,-4.362
0.218,0.258
6.852,5.713
6.759,8.136
6.456,10.485
7.196,9.628
3.630,4.869
-1.323,0.934
-0.441,-1.749
-1.462,-2.745
-3.205,-3.756
2.711,-0.138
5.646,-1.342
-2.212,-9.820
-5.578,-11.191
0.892,-5.760
2.745,-4.025
5.410,-2.037
5.420,0.507
-1.234,-2.377
-5.403,-5.760
-8.570,-6.504
-11.608,-7.598
-8.217,-11.614
0.956,-8.115
4.977,-3.032
2.241,-4.709
-2.398,-7.167
-4.166,-7.313
-1.927,-6.803
-0.051,-5.311
-0.708,-4.827
-2.601,-7.294
-3.228,-7.617
-1.775,-5.995
2.125,-8.070
5.924,-8.199
8.657,-5.754
7.039,-4.091
5.776,-3.080
3.216,-3.444
1.781,-0.366
3.235,1.518
3.878,1.684
3.696,3.883
-0.577,2.139
-6.810,-3.431
-5.560,-6.187
-2.729,-1.561
-6.062,1.278
-7.954,-3.017
-5.454,-4.617
-4.015,-1.775
-3.889,-0.407
-2.166,-4.107
-0.302,-5.922
-2.448,-5.543
-8.950,-12.217
-8.488,-18.345
0.195,-19.584
6.804,-20.482
10.732,-22.095
17.102,-16.631
20.681,-4.699
14.733,2.566
