Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:34:47 PM
Start Time: 00:00:00.000		End Time: 00:01:01.813

EEG-C,EEG-D
256,256
-14.553,-11.868
-10.254,-7.961
-23.799,-26.429
-32.983,-38.956
-23.455,-33.718
-19.276,-34.336
-11.153,-29.864
4.547,-18.496
14.030,-19.022
11.962,-28.370
6.604,-25.765
6.889,-8.259
11.831,9.518
14.361,16.692
10.541,18.076
3.303,10.182
-1.424,-1.310
-1.216,-1.113
-0.973,-0.209
-2.383,-3.447
-3.778,0.249
-6.828,2.934
-11.124,-5.874
-11.107,-10.175
-6.804,-5.812
-2.633,-0.170
-1.951,-0.593
-2.707,-4.311
-4.557,-8.176
-5.387,-6.672
-3.469,1.461
-1.896,4.415
-3.040,-4.497
-5.647,-11.630
-6.265,-9.389
-3.739,0.232
-0.741,4.569
-2.223,-3.188
-6.198,-7.907
-8.958,-0.538
-6.646,9.346
-2.353,6.795
-2.580,-4.235
-3.540,-6.917
-2.147,-2.093
-2.306,-0.870
-2.607,1.933
-2.456,6.184
-1.403,7.067
-1.313,5.376
-3.707,-5.505
-4.919,-18.481
-1.817,-12.973
1.979,6.184
0.553,7.898
-5.642,-5.612
-7.211,-12.368
-1.609,-6.435
0.390,1.311
-3.017,4.563
-3.783,2.605
-2.772,0.957
-4.434,-0.172
-4.774,-0.995
-4.424,-3.672
-4.992,-4.935
-3.769,-0.604
-0.754,5.291
1.351,5.947
4.402,7.977
6.259,10.920
4.585,8.076
0.678,3.510
1.816,12.609
2.224,17.272
-1.075,10.628
-0.731,10.150
-0.294,10.873
0.367,13.357
2.766,16.587
3.851,20.121
4.296,18.089
5.212,18.742
3.296,23.565
-0.293,20.350
1.510,12.563
5.284,15.336
1.924,19.632
-1.381,11.956
0.866,6.595
1.289,11.731
0.550,16.717
-1.734,12.081
-3.559,0.868
-3.846,-10.535
-2.834,-8.568
2.288,7.013
6.070,12.089
-0.202,-1.827
-6.572,-8.338
-4.257,-1.813
2.312,1.014
5.124,-1.717
3.222,0.244
1.654,3.713
1.088,-3.163
-0.928,-9.331
-1.834,-6.330
3.265,0.207
8.082,1.367
8.079,-3.143
7.490,-1.367
7.932,5.337
7.817,8.971
3.734,5.306
-4.568,-6.275
-7.599,-10.458
-0.841,-1.554
6.011,5.245
8.883,4.858
9.047,5.131
7.497,7.205
3.572,5.137
-1.652,1.530
-1.361,3.411
4.389,8.998
8.046,11.359
4.245,3.715
-1.298,-3.624
-1.640,-3.085
2.728,-0.193
4.957,-4.487
4.105,-11.307
2.374,-9.968
1.930,-1.160
2.162,3.023
0.785,0.317
-0.519,-2.540
-1.881,-4.349
-0.318,0.444
4.200,5.153
4.319,3.141
-2.024,-7.271
-6.231,-18.147
-2.947,-13.079
0.959,2.716
-1.850,5.953
-5.991,-3.832
-6.149,-8.976
-3.887,-6.349
-0.038,-1.641
1.597,0.353
0.777,3.002
4.212,7.054
6.373,1.342
4.158,-6.364
2.831,-4.202
1.969,5.149
0.380,3.386
-0.509,-5.291
-1.002,-7.997
-2.137,-7.556
-3.355,-5.021
-2.299,-3.986
0.251,-8.262
2.349,-14.179
1.614,-18.396
1.237,-14.447
2.619,-7.259
1.903,-6.108
-1.744,-8.287
-4.653,-12.262
-2.038,-14.560
2.472,-10.799
2.527,-8.279
-0.892,-5.926
-2.755,-5.207
-0.057,-6.887
5.041,-0.109
5.353,2.276
0.092,-4.082
-1.565,-2.026
-0.858,5.219
1.869,7.166
4.126,4.405
0.363,0.437
-4.581,-3.170
-3.743,-5.172
1.294,-0.690
4.156,9.982
3.521,12.667
3.058,5.091
0.113,-2.868
-2.078,-1.393
-2.570,-0.723
-1.757,-1.922
-0.197,-0.045
0.283,2.398
-2.256,-0.546
-5.397,-2.771
-5.305,0.310
-3.728,2.574
-3.453,0.101
-3.173,-0.351
-1.217,2.231
3.024,5.963
5.673,3.423
2.621,-4.127
-2.094,-4.178
-5.846,3.608
-6.815,2.906
-5.253,-5.233
-2.547,-4.199
-0.202,4.549
1.757,5.556
-0.389,4.015
-3.461,5.807
-3.812,6.610
-2.140,4.868
-1.462,-4.046
-0.334,-4.555
-0.701,3.005
-4.232,4.918
-5.352,-2.589
-1.834,-5.459
-0.267,-2.284
-1.891,4.495
-0.643,12.374
1.256,15.398
-1.913,14.034
-4.755,10.678
-0.851,16.327
7.239,21.709
10.778,13.504
7.464,2.155
2.500,-0.941
2.912,4.178
7.124,9.676
5.534,7.008
1.493,2.949
2.233,1.753
3.540,2.376
1.018,4.500
-2.055,4.382
-2.463,6.234
-1.622,2.288
-0.470,-15.178
1.345,-27.675
1.251,-24.493
0.149,-20.449
5.189,-20.895
11.889,-20.063
12.548,-12.199
15.176,4.290
20.617,16.292
19.922,15.169
12.057,14.751
5.559,17.823
5.753,12.318
6.397,5.103
3.695,2.194
1.797,0.102
2.685,-1.588
3.738,0.126
2.379,5.863
2.172,7.302
1.365,5.520
1.185,5.458
4.546,3.797
5.612,0.410
0.149,2.986
-4.805,7.057
-4.594,7.508
-1.620,5.257
-1.942,0.116
-3.359,-3.611
-2.155,-4.202
-1.393,-2.239
-3.386,-1.088
-3.907,1.868
-0.987,7.240
1.098,8.951
0.665,5.368
-1.194,-1.121
-2.871,-2.740
-0.577,3.413
2.792,4.918
2.638,5.604
-0.857,4.626
