Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 9:19:38 PM
Start Time: 00:00:00.000		End Time: 00:01:01.438

EEG-C,EEG-D
256,256
-4.167,-5.181
-7.177,-46.557
3.989,-10.080
9.216,9.426
8.900,0.848
7.062,9.477
6.878,29.938
5.114,21.711
2.671,-14.786
2.239,-24.798
9.481,11.586
14.359,45.077
7.668,35.568
-1.285,14.301
0.467,14.055
11.594,24.072
16.172,26.251
11.528,24.202
6.047,29.371
9.222,33.637
12.104,23.113
6.590,4.817
7.027,4.486
11.798,27.792
6.441,42.776
0.540,31.616
1.230,3.981
5.935,-2.912
11.495,19.169
13.208,36.998
6.373,22.114
-1.312,-3.767
1.297,-2.957
8.476,19.381
10.690,29.420
8.409,23.414
2.553,13.680
-0.396,13.294
1.025,16.224
5.012,14.502
9.160,14.013
9.383,23.614
4.163,25.244
3.356,9.740
8.776,0.256
8.989,8.144
1.402,21.451
-6.230,22.366
-6.255,5.493
-0.025,-9.095
4.223,-4.461
3.900,9.486
5.426,18.443
7.234,11.918
4.591,-1.885
-1.046,-4.648
-0.832,10.061
1.258,22.106
0.440,14.481
-0.588,-4.624
1.178,-13.133
4.563,-3.047
6.473,11.325
2.161,10.128
-1.458,-2.386
0.091,-12.285
-6.682,-9.205
-15.655,0.453
-12.142,1.273
-3.545,-5.336
-5.041,-5.131
-4.697,-1.106
0.807,-1.484
1.003,-4.282
-5.707,-0.960
-11.519,0.289
-8.952,-8.953
1.742,-15.666
7.263,-10.122
0.074,-0.482
-6.881,1.766
-5.950,-4.935
-6.146,-15.017
-6.215,-15.254
-6.269,-1.897
-6.757,11.902
-4.237,5.868
1.430,-13.586
-0.754,-24.466
-12.296,-15.312
-15.759,1.829
-2.491,8.298
6.890,-3.977
-2.486,-23.865
-7.791,-23.955
-7.015,-7.519
-12.143,-4.306
-18.069,-15.618
-9.273,-18.850
5.683,-10.630
8.096,-1.213
-1.134,0.019
-12.650,-12.648
-17.670,-25.596
-11.055,-24.149
1.870,-7.046
6.879,2.445
-0.775,-6.031
-7.793,-12.454
-8.478,-9.462
-7.249,-6.211
-8.681,-4.457
-8.529,-4.554
-8.213,-1.787
-8.549,-0.115
-5.219,-3.267
-2.507,-4.286
-2.808,-1.298
-2.724,6.991
-1.181,8.962
-0.922,-2.369
-3.156,-13.183
-3.025,-6.367
-2.333,13.019
-4.003,15.730
-2.675,-1.880
-0.993,-17.978
-4.043,-13.261
-0.923,9.921
8.211,20.546
8.086,6.962
-1.224,-11.893
-4.060,-17.695
1.918,-1.629
6.080,14.925
4.064,11.519
-0.046,-2.487
2.030,-8.250
8.228,-0.344
8.358,10.588
0.660,9.599
-6.906,1.375
-2.547,3.382
8.842,15.221
13.474,19.716
9.264,18.164
2.335,12.872
-1.607,4.355
2.333,7.825
4.728,14.535
-0.410,9.764
-2.732,4.195
4.790,7.704
10.772,15.130
2.490,15.852
-5.925,12.088
3.920,11.480
16.433,21.522
12.306,24.193
3.151,14.077
3.787,9.207
9.980,14.328
13.500,17.106
9.479,10.498
6.902,2.863
8.131,-1.943
7.133,2.831
-0.067,8.218
-2.446,5.767
-2.831,-2.717
-6.966,-10.526
-2.268,-3.922
5.189,6.798
1.681,2.502
-6.616,-11.064
-4.028,-15.721
7.441,-4.131
11.825,7.737
9.087,1.644
2.578,-13.949
-5.307,-20.520
-8.502,-12.775
-8.156,-2.862
-4.387,-2.126
-2.455,-8.376
-4.825,-14.717
-6.509,-12.456
-3.506,-5.352
-2.231,-1.724
-4.689,-4.613
-7.569,-15.484
-8.099,-19.287
