Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 28/08/2017		Session Time: 9:05:24 PM
Start Time: 00:00:00.000		End Time: 00:00:10.125

EEG-C,EEG-D
256,256
2.348,-1.864
2.645,-1.846
1.096,-1.972
-5.730,-3.555
-0.526,-0.176
5.096,3.259
4.524,6.287
6.782,6.411
8.543,2.280
7.864,-0.405
9.703,0.540
14.691,2.773
14.314,4.380
6.353,3.871
-8.942,3.493
-15.121,4.994
-6.951,5.566
-0.297,4.994
-2.032,6.198
-3.270,6.011
4.223,5.372
10.751,7.434
12.254,6.870
9.960,-3.489
10.289,-8.341
13.976,-1.694
12.466,4.219
7.576,5.169
2.453,5.429
-1.510,6.079
-0.603,4.334
-1.813,0.336
-2.737,0.403
-0.869,7.103
-0.305,9.512
3.564,4.772
5.356,0.166
2.119,2.441
0.728,7.393
0.648,8.486
-1.977,2.967
-6.057,-2.852
-7.986,-5.483
-4.832,-4.351
4.850,-2.889
14.718,-4.079
12.105,-4.955
-2.905,-6.580
-10.183,-9.768
-6.959,-11.692
-4.004,-13.005
-2.399,-13.624
-0.811,-10.523
-1.996,-5.545
-4.965,-5.580
-5.150,-7.203
-2.574,-5.238
-3.028,-2.506
-7.435,-4.597
-7.793,-7.912
-1.377,-6.337
6.888,-1.045
14.437,4.906
19.982,6.464
16.679,3.375
-5.763,-3.674
-16.726,-8.281
-6.877,-8.058
3.016,-6.308
8.772,-4.022
14.000,-0.323
11.264,2.024
0.283,0.792
-5.699,0.087
-2.180,1.025
4.162,0.905
9.258,-0.981
8.394,-2.888
0.667,-2.319
-1.712,-0.504
1.671,0.170
-4.624,-2.177
-11.731,-5.696
-6.905,-4.836
-0.343,-3.324
0.400,-4.539
-0.247,-3.110
2.062,1.065
5.423,2.817
1.655,1.257
-3.677,0.344
-3.385,1.663
-0.984,4.142
-0.073,5.021
-0.319,3.437
-0.577,1.061
0.591,0.523
4.399,1.562
9.239,1.530
5.171,1.459
-6.552,-0.404
-8.150,-1.794
-0.839,-1.289
5.120,2.823
7.549,5.347
9.431,4.010
2.020,2.592
-7.401,3.067
-6.625,3.643
1.271,5.935
11.531,10.572
15.520,9.371
3.898,0.600
-8.922,-4.033
-3.751,1.692
3.240,7.579
3.296,4.956
7.441,1.751
13.635,3.403
7.479,3.246
-8.331,-3.305
-16.323,-8.884
-13.702,-8.225
-6.444,-4.354
-1.600,-2.299
0.205,-0.403
-0.044,0.078
-2.214,-0.782
-6.356,-4.062
0.495,-4.131
11.738,2.217
6.905,6.558
1.487,5.653
-3.621,1.089
-11.397,-1.554
-7.202,0.185
0.355,3.402
3.242,5.663
0.146,3.477
-1.309,1.387
-0.248,1.287
-0.039,0.490
-4.764,-4.841
-9.369,-7.711
-6.835,-3.852
2.942,1.094
2.286,1.412
-8.298,-0.424
-6.692,0.509
4.720,3.916
5.306,5.461
-0.672,5.377
0.779,7.351
6.257,7.388
13.198,5.222
15.535,2.813
5.208,1.898
-3.081,5.769
-0.820,8.200
-0.390,2.639
-4.652,-2.933
-4.117,-1.044
7.775,5.073
18.917,6.569
14.810,4.109
5.224,1.820
3.493,-0.564
2.179,-4.799
-3.794,-6.280
-2.769,-2.679
0.203,1.112
-1.032,1.926
-1.183,2.500
0.692,5.255
2.755,8.500
6.028,9.705
11.778,10.181
14.024,10.151
8.396,8.110
5.615,6.516
8.314,3.589
7.213,-0.723
-3.678,-5.810
-9.593,-8.372
-0.508,-6.053
11.059,-1.557
12.382,3.225
1.276,6.272
-5.536,7.052
2.854,5.664
19.122,6.779
22.163,10.987
7.742,10.399
-1.961,3.259
5.796,0.935
14.626,4.072
7.334,2.176
-4.372,-3.695
-1.675,-4.590
7.725,1.121
9.496,6.096
9.036,5.287
8.036,1.603
-2.598,-2.563
-10.671,-5.636
-6.284,-2.551
1.918,4.459
8.833,10.195
10.318,11.375
9.549,7.751
8.350,3.118
2.914,3.087
0.579,6.699
0.362,5.761
4.915,2.780
10.341,2.617
4.655,2.843
-4.831,-0.521
-6.679,-5.945
-0.179,-8.306
3.380,-7.603
-3.148,-7.782
-5.273,-9.907
-2.652,-13.602
3.042,-12.104
14.059,-5.878
13.756,0.750
-3.051,7.520
-13.128,6.872
-8.060,-0.958
-2.325,-7.270
-2.832,-7.121
-2.855,-2.856
-5.745,-0.715
-7.772,-0.956
-4.179,-1.236
2.575,0.747
7.406,5.871
1.478,6.835
-6.560,1.569
-5.476,-4.202
0.607,-4.508
0.733,-4.148
-1.592,-4.176
-2.408,-2.014
-3.006,1.877
-1.344,5.443
5.460,9.800
3.076,10.756
-1.692,8.517
5.971,8.596
-0.274,10.472
-15.656,9.679
-13.694,9.259
-7.203,8.817
-9.283,5.780
-10.898,2.141
-7.650,-0.114
-4.297,0.047
-1.520,-0.734
-2.124,-5.277
-4.218,-7.113
-0.045,-1.459
5.078,2.558
4.974,1.129
3.839,-0.495
-2.474,-3.701
-11.977,-5.827
-7.511,-0.738
7.145,7.854
5.938,11.316
-12.167,7.695
-22.426,2.047
-17.439,1.636
-8.631,3.747
-4.507,3.212
-5.392,1.361
-3.906,0.939
-1.825,1.080
-5.266,-2.147
-5.691,-4.017
2.885,-2.572
8.905,-0.676
2.920,1.211
-7.268,-0.359
-10.645,-3.748
-6.546,-2.657
-2.254,-1.530
0.211,-0.993
1.659,-1.228
3.786,-4.696
-2.541,-6.494
-10.964,0.128
-8.035,6.928
0.423,6.047
9.990,1.448
21.491,-1.086
22.636,-0.461
5.383,0.601
-6.978,0.029
-5.716,-3.010
-3.618,-6.340
-1.793,-5.678
-0.438,-1.721
-1.632,-0.508
-2.432,-2.091
-4.528,-3.678
-0.102,-1.450
11.454,3.229
10.337,3.586
0.251,2.406
-6.313,2.670
-8.465,-0.004
-2.863,-5.431
0.616,-8.318
-5.667,-6.438
-10.877,-3.177
-3.193,-0.450
3.804,0.792
2.139,2.815
-0.435,2.854
-1.992,-2.107
-5.873,-10.204
-7.569,-15.031
-2.608,-14.474
1.041,-12.936
-3.421,-10.700
-8.395,-8.051
-2.451,-4.781
2.837,-1.140
-1.735,-2.391
-7.169,-5.820
-3.937,-8.213
4.120,-7.225
4.169,-3.867
-0.647,-1.843
-4.679,-2.197
-3.581,-0.861
-0.581,-0.227
-3.608,-2.417
-3.028,-0.781
5.391,2.604
5.129,-0.911
4.694,-0.554
13.192,5.616
9.500,5.795
-3.846,0.884
-4.369,-0.470
9.709,3.591
16.822,8.910
9.656,11.447
5.087,10.863
9.978,9.200
16.052,9.938
17.254,11.541
13.977,8.934
5.553,4.118
-0.180,-0.237
-1.894,-3.142
-0.187,-3.520
1.879,-2.586
-0.459,-4.647
-2.345,-5.141
2.144,-0.882
4.114,-1.982
0.065,-4.445
-0.777,-3.215
1.977,-4.387
-1.503,-5.226
-7.881,-3.387
-4.638,-0.961
7.793,2.026
10.830,0.464
1.636,-4.781
-6.244,-10.171
-5.192,-13.416
-5.956,-12.989
-14.897,-11.096
-15.190,-12.053
-4.715,-11.061
1.071,-8.887
-5.675,-8.590
-10.739,-8.676
-4.062,-6.951
4.546,-3.801
7.827,-1.458
5.927,-1.931
2.280,-3.360
-2.431,-5.691
-4.111,-8.126
1.976,-8.546
10.497,-6.630
9.174,-7.303
-0.441,-8.508
-0.127,-5.587
4.262,-4.283
-3.856,-7.994
-16.233,-11.600
-11.935,-8.184
6.725,-0.653
9.843,-0.148
-0.949,-2.671
-1.615,-1.401
4.679,3.696
-1.370,4.472
-7.217,2.123
-3.789,0.892
1.457,1.642
2.506,2.091
2.378,2.293
2.220,2.196
0.335,1.301
0.263,5.012
3.784,9.566
3.604,10.517
6.284,11.328
15.482,12.237
15.698,10.723
-0.441,6.799
-12.014,4.224
-4.824,4.599
2.749,5.014
3.321,5.850
5.249,6.269
10.030,5.958
8.745,6.942
1.440,7.464
-0.478,9.505
3.822,10.572
-0.436,4.606
-6.739,-1.784
-4.644,-0.031
-3.042,5.469
0.080,6.904
5.607,3.903
6.117,1.084
0.680,1.217
-0.157,2.067
5.212,3.717
5.828,6.683
-3.791,10.950
-1.810,17.813
14.507,25.376
14.069,22.870
0.099,14.054
-0.725,11.524
6.389,13.725
3.280,13.214
0.530,10.137
4.515,6.482
4.464,3.218
9.884,0.662
19.809,-1.852
13.993,-1.821
-2.405,2.413
-6.357,2.854
-0.042,1.099
5.243,3.943
6.272,7.532
1.992,5.654
-1.595,3.146
7.279,4.522
19.062,4.413
8.784,1.743
-7.656,4.166
-7.565,7.683
1.347,3.304
6.055,-2.757
1.257,-2.988
-1.938,1.910
0.443,-0.705
-1.273,-8.681
-1.072,-10.146
4.600,-5.875
1.689,-3.360
-6.653,-2.988
-5.492,-4.326
1.754,-7.699
9.097,-7.815
6.213,-3.945
-8.973,-6.007
-11.619,-10.686
0.907,-5.936
3.392,-0.103
-9.463,-3.723
-16.288,-8.173
-5.852,-3.799
4.160,0.118
0.322,-4.961
-5.431,-10.120
-3.649,-11.964
3.037,-10.830
0.179,-7.999
-4.293,-6.017
1.463,-3.530
7.985,-1.444
9.858,1.188
4.284,2.707
-0.352,1.973
2.000,1.276
3.984,-2.130
-3.539,-6.566
-11.146,-8.998
-9.613,-5.295
-4.428,-1.996
-3.362,-2.606
-1.538,-2.686
-0.751,-2.848
-1.755,-4.239
-1.272,-7.894
-0.262,-10.455
-5.827,-10.274
-12.855,-7.097
-5.135,-1.121
7.696,4.322
3.956,5.805
-6.604,3.417
-4.201,2.162
2.786,3.852
-0.460,5.004
-3.961,4.657
-1.798,3.314
2.125,0.126
2.798,-2.895
-0.804,-3.707
-1.420,-2.857
4.808,-2.379
6.126,-0.917
-0.311,1.992
-2.355,5.796
-6.025,3.998
-10.962,-2.822
-4.909,-3.790
2.636,0.467
-3.293,3.715
-1.585,7.289
10.689,10.538
14.350,9.587
5.613,5.161
-1.248,3.660
0.114,3.866
3.765,2.316
3.323,-0.913
-0.641,-2.414
0.326,-3.981
1.871,-6.465
-1.534,-8.976
-4.321,-8.517
2.545,-1.789
2.600,2.265
-2.765,1.803
-1.825,4.630
3.069,8.905
4.328,8.744
6.400,8.584
5.311,6.902
-0.624,4.737
-1.035,4.221
1.993,4.882
3.549,5.680
0.396,1.013
-4.417,-2.137
-10.034,-3.216
-13.723,-8.587
-9.439,-12.568
0.639,-10.960
2.170,-9.228
-4.414,-8.575
-5.639,-3.421
-2.173,4.061
-1.435,7.043
-3.102,3.466
-4.025,-3.808
-3.819,-7.644
2.153,-5.718
11.868,-2.318
19.794,5.069
23.072,7.204
20.024,-1.740
12.967,-7.579
14.122,-3.574
13.897,0.890
4.073,1.993
-1.590,0.748
1.510,-2.018
2.377,-3.408
-0.687,-3.231
-3.808,-3.257
-5.974,-2.927
-0.502,-0.720
3.600,4.158
0.984,6.033
-5.580,2.046
-11.416,1.365
-8.591,4.516
-1.113,4.757
3.486,2.137
5.490,-1.322
7.699,-3.517
4.510,-2.022
-2.614,-2.577
-6.486,-8.037
-9.008,-9.105
-9.602,-4.135
-9.013,-0.240
-7.851,-0.157
-7.544,0.859
-10.555,3.116
-11.681,-0.900
-6.067,-8.430
-2.704,-12.542
-3.802,-12.400
-5.122,-10.807
-8.417,-10.753
-7.738,-14.129
-4.320,-15.794
0.763,-11.065
6.976,-6.203
4.141,-7.507
-6.910,-11.551
-10.256,-10.584
-4.255,-6.371
1.504,-2.339
-0.142,2.327
-3.702,4.260
-0.042,7.342
4.834,10.794
1.042,11.115
-1.023,7.843
8.730,7.781
11.993,10.916
7.753,13.306
8.311,13.254
6.866,8.765
-0.939,4.215
-5.835,4.113
-8.942,3.200
-14.190,-0.207
-9.973,1.815
2.580,9.932
6.646,14.688
4.882,15.855
7.735,20.126
13.395,25.058
7.380,21.934
-1.108,13.703
2.516,10.409
10.886,12.835
8.352,10.918
-1.670,3.898
-0.214,1.917
8.521,6.327
7.965,8.506
0.490,4.271
-2.625,-0.700
0.573,-2.403
2.934,-3.124
3.112,-3.009
4.925,-2.157
5.313,-0.658
0.467,2.476
-4.527,2.690
0.287,1.837
13.337,3.606
9.378,2.786
-18.756,-0.786
-27.687,-0.678
-15.377,2.518
-4.095,2.809
-0.809,-0.392
-2.648,-4.435
-2.801,-7.064
-0.194,-8.071
-0.251,-9.689
-2.503,-11.498
-5.695,-14.089
-4.607,-12.669
-3.176,-8.844
-0.827,-4.595
0.789,-1.864
-0.524,-2.331
-2.351,-9.840
0.238,-15.697
6.250,-9.060
3.746,0.494
-6.588,0.171
-9.146,-4.172
-3.679,-5.202
2.424,-2.733
4.892,0.986
-4.769,2.277
-10.500,3.700
-4.317,4.164
3.027,-0.032
3.873,-3.375
-2.024,-2.280
-1.705,-1.503
8.295,1.234
8.741,5.440
5.443,10.876
10.328,12.312
15.267,5.354
4.195,-0.955
-14.322,-1.609
-13.473,3.002
0.709,10.550
8.301,13.078
7.532,9.301
6.732,9.721
7.460,16.439
6.915,20.119
4.604,18.657
7.485,19.227
5.211,18.511
1.379,16.331
3.826,17.717
5.944,18.700
4.187,18.366
-1.117,15.064
3.604,14.426
9.044,18.482
3.067,20.781
0.636,20.712
9.587,19.569
11.086,13.962
3.141,6.966
3.666,6.280
10.833,9.020
15.885,9.287
20.796,10.110
12.603,8.941
-5.649,4.902
-7.879,2.073
1.785,4.141
7.419,10.489
9.528,16.903
8.182,16.787
1.567,10.895
-1.580,9.928
7.734,18.222
12.892,23.809
4.541,17.931
3.195,12.707
12.885,15.341
13.137,16.307
0.915,12.821
-7.542,7.868
-3.041,4.827
